Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
1.,MRR-101,Understanding Development,,,,,,,Management,,,
,,Caused Displacement,,1,725.00,-,,,Lkk>kou izca/ku,,,
2.,MRR-102,Role of Participation in,,,,,,16. PFM-2,Participatory Forest,,,
,,Sustainable Development,,1,700.00,-,,,Management,1,825.00,900.00
,,,,,,,,,Lkk>k ou izca/ku,,,
3.,MRR-103,Participating Planning for,,,,,,,,,,
,,Resettlement and,,,,,,17. PFM-3,Participatory Forest,,,
,,Rehabilitation,,1,850.00,-,,,Management,1,1425.00 1600.00,
,,,,,,,,,Lkk>k ou izca/ku,,,
4.,MRR-104,Participatory Implementing &,,,,,,,,,,
,,Monitoring of Resettlement &,,,,,,18. PFM-4,Participatory Forest,,,
,,Rehabilitation,,1,475.00,-,,,Management,,,
,,,,,,,,,Lkk>k ou izca/ku,1,975.00,1025
5.,MRR-005,Theoretical Perspectives,,1,800.00,-,,,,,,
,,in R&R,,,,,,19. PFM-5,lkfofu & 1 lgHkkxh,4,850.00,925.00
6.,MRR-006,Illustrative R&R Case Studies,,,,,,20. ESO-11,The Study of Society,8,925.00 1000.00,
,,from Different Development,,,,,,,lekt dk v/;;u,,,
,,Sectors,,1,275.00,-,,21. ESO-12,Society in India,8,1350.00 1400.00,
,,,,,,,,,Hkkjr ea lekt,,,
7.,MRRE,Economic Planning of R&R,,,,,,,,,,
,007/008/,Implementation Socio-cultural,,,,,,22. ESO-13,Sociological Thought,7,1075.00 1075.00,
,009/010,and Infrastructural-Planning,,,,,,,lekt ’kkL=h; fl)kUr,,,
,,"and Relocation, Economic",,,,,,,,,,
,,"Rehabilitation of PAPs,",,,,,,23. ESO-14,Society and Stratification,8,1050.00 1175.00,
,,Monitoring and Evaluation,,,,,,,lekt vkSj Lrjhdj.k,,,
,,of R&R,,1,675.00,,,24. ESO-15,Society and Religion,7,1400.00 1625.00,
8.,MRRP-111,Project Work Guide,,1,150.00,-,,,lekt vkSj 'keZ,,,
,,,,,,,,25. ESO-16,Social Problem in India,7,1025.00 1100.00,
9.,BLD-101,Political Economy of,,,,,,,Hkkjr ea lkekftd,,,
,,Labour in India,,,,,,,,,,
,,Hkkjr ea Je dk,,,,,,26. MSO-001,Sociological Theories and,2,800.00,825.00
,,jktuhfrd vFk’kkL=,,5,575.00,650.00,,,Concepts,,,
,,,,,,,,,"Lkekt’kkL=h; fl}kr ,oa",,,
10. BLD-102,,Organising the Unorganised,,4,950.00 1100.00,,,,,,,
,,vlxfBr Jfedka dk,,,,,,,"ladYiuk,W",,,
,,lxBuhdj.k,,,,,,27. MSO-002,Research Methodologies,3,1250.00 1300.00,
,,,,,,,,,and Methods,,,
11. CLD-3,,Child and Bonded Labour,,4,775.00,925.00,,,'kk/k i}fr;kW vkSj fof/k;kW,,,
,,cky vkj ca/kvk etnj,,,,,,,,,,
,,,,,,,,28. MSO-003,Sociology of Development,2,900.00 1050.00,
12. CLD-4,,Migrant and Female Workers,,4,700.00,850.00,,,fodkl dk lekt 'kkL=,,,
,,izoklh vkSj efgyk Jfed,,,,,,,,,,
,,,,,,,3,,,,,

Contd. from pre page,,,,,,,,,,,
Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
29. MSO-004,Sociology in India,,2,1025.00 1125.00,,,46. MPSE-004,Social and Political Thought,1,425.00,450.00
,Hkkjr ea lekt 'kkL=,,,,,,,in Modern India,,,
,,,,,,,,vk/kfud Hkkjr ea lkekftd,,,
30. MSOE-001,Sociology of Education,,2,750.00,875.00,,,vkSj jktuhfrd fpru,,,
,f’k{kk dk lekt’kkL=,,,,,,,,,,
,,,,,,,47. MPSE-005,State and Society inAfrica,1,325.00,425.00
31. MSOE-002,Diaspora and Transnational,,2,700.00,750.00,,,vÝhdk ea jkT; vkSj lekt,,,
,Communities,,,,,,,,,,
,"izoklh vkSj ijkjk""Vah;",,,,,,48. MPSE-006,Peace and Conflict Studies,1,450.00,475.00
,leqnk;,,,,,,,"'kkfr vkSj l?k""kZ v/;;u",,,
32. MSOE-003,Sociology of Religion,,2,725.00,800.00,,49. MPSE-007,Social Movements and,1,350.00,425.00
,/keZ dk lekt’kkL=,,,,,,,Politics in India,,,
,,,,,,,,Hkkjr ea lkekftd vknkyu,,,
33. MSOE-004,Urban Sociology,,2,750.00,825.00,,,vkSj jktuhfr,,,
,uxjh; lekt ’kkL=,,,,,,,,,,
